Year,DOY,Date,Trt_code,Treatment,Plot,LAI,LAI_Tmnt
2012,166,6/14/2012,1,100/100,A33,0.594,0.562
2012,166,6/14/2012,1,100/100,A42,0.422,
2012,166,6/14/2012,1,100/100,B11,0.592,
2012,166,6/14/2012,1,100/100,B23,0.638,
2012,166,6/14/2012,2,100/50,A15,0.495,0.562
2012,166,6/14/2012,2,100/50,A22,0.515,
2012,166,6/14/2012,2,100/50,B32,0.693,
2012,166,6/14/2012,2,100/50,B46,0.546,
2012,166,6/14/2012,3,80/80,A14,0.539,0.522
2012,166,6/14/2012,3,80/80,A24,0.538,
2012,166,6/14/2012,3,80/80,B31,0.497,
2012,166,6/14/2012,3,80/80,B45,0.513,
2012,166,6/14/2012,4,80/65,A31,0.516,0.594
2012,166,6/14/2012,4,80/65,A46,0.465,
2012,166,6/14/2012,4,80/65,B15,0.632,
2012,166,6/14/2012,4,80/65,B22,0.763,
2012,166,6/14/2012,5,80/50,A34,0.407,0.512
2012,166,6/14/2012,5,80/50,A44,0.564,
2012,166,6/14/2012,5,80/50,B14,0.582,
2012,166,6/14/2012,5,80/50,B25,0.496,
2012,166,6/14/2012,6,80/40,A16,0.633,0.509
2012,166,6/14/2012,6,80/40,A26,0.496,
2012,166,6/14/2012,6,80/40,B34,0.392,
2012,166,6/14/2012,6,80/40,B41,0.515,
2012,166,6/14/2012,7,65/80,A11,0.484,0.487
2012,166,6/14/2012,7,65/80,A25,0.509,
2012,166,6/14/2012,7,65/80,B33,0.573,
2012,166,6/14/2012,7,65/80,B44,0.381,
2012,166,6/14/2012,8,65/65,A32,0.477,0.504
2012,166,6/14/2012,8,65/65,A41,0.606,
2012,166,6/14/2012,8,65/65,B12,0.463,
2012,166,6/14/2012,8,65/65,B26,0.47,
2012,166,6/14/2012,9,65/50,A35,0.624,0.589
2012,166,6/14/2012,9,65/50,A43,0.59,
2012,166,6/14/2012,9,65/50,B13,0.495,
2012,166,6/14/2012,9,65/50,B21,0.647,
2012,166,6/14/2012,10,65/40,A12,0.603,0.558
2012,166,6/14/2012,10,65/40,A23,0.54,
2012,166,6/14/2012,10,65/40,B35,0.466,
2012,166,6/14/2012,10,65/40,B42,0.622,
2012,166,6/14/2012,11,50/50,A36,0.568,0.555
2012,166,6/14/2012,11,50/50,A45,0.564,
2012,166,6/14/2012,11,50/50,B16,0.548,
2012,166,6/14/2012,11,50/50,B24,0.542,
2012,166,6/14/2012,12,40/40,A13,0.627,0.582
2012,166,6/14/2012,12,40/40,A21,0.726,
2012,166,6/14/2012,12,40/40,B36,0.496,
2012,166,6/14/2012,12,40/40,B43,0.48,
2012,185,7/3/2012,1,100/100,A33,3.248,3.684
2012,185,7/3/2012,1,100/100,A42,3.559,
2012,185,7/3/2012,1,100/100,B11,4.436,
2012,185,7/3/2012,1,100/100,B23,3.495,
2012,185,7/3/2012,2,100/50,A15,2.639,3.266
2012,185,7/3/2012,2,100/50,A22,3.413,
2012,185,7/3/2012,2,100/50,B32,3.376,
2012,185,7/3/2012,2,100/50,B46,3.635,
2012,185,7/3/2012,3,80/80,A14,3.548,3.409
2012,185,7/3/2012,3,80/80,A24,2.652,
2012,185,7/3/2012,3,80/80,B31,3.331,
2012,185,7/3/2012,3,80/80,B45,4.104,
2012,185,7/3/2012,4,80/65,A31,3.088,3.041
2012,185,7/3/2012,4,80/65,A46,2.726,
2012,185,7/3/2012,4,80/65,B15,2.886,
2012,185,7/3/2012,4,80/65,B22,3.464,
2012,185,7/3/2012,5,80/50,A34,3.231,3.13
2012,185,7/3/2012,5,80/50,A44,2.689,
2012,185,7/3/2012,5,80/50,B14,2.879,
2012,185,7/3/2012,5,80/50,B25,3.72,
2012,185,7/3/2012,6,80/40,A16,3.74,3.297
2012,185,7/3/2012,6,80/40,A26,3.313,
2012,185,7/3/2012,6,80/40,B34,2.714,
2012,185,7/3/2012,6,80/40,B41,3.42,
2012,185,7/3/2012,7,65/80,A11,3.351,3.142
2012,185,7/3/2012,7,65/80,A25,3.207,
2012,185,7/3/2012,7,65/80,B33,2.905,
2012,185,7/3/2012,7,65/80,B44,3.106,
2012,185,7/3/2012,8,65/65,A32,3.219,3.429
2012,185,7/3/2012,8,65/65,A41,3.372,
2012,185,7/3/2012,8,65/65,B12,3.24,
2012,185,7/3/2012,8,65/65,B26,3.885,
2012,185,7/3/2012,9,65/50,A35,3.378,3.482
2012,185,7/3/2012,9,65/50,A43,2.849,
2012,185,7/3/2012,9,65/50,B13,4.252,
2012,185,7/3/2012,9,65/50,B21,3.447,
2012,185,7/3/2012,10,65/40,A12,2.712,3.465
2012,185,7/3/2012,10,65/40,A23,4.036,
2012,185,7/3/2012,10,65/40,B35,3.729,
2012,185,7/3/2012,10,65/40,B42,3.381,
2012,185,7/3/2012,11,50/50,A36,2.982,3.182
2012,185,7/3/2012,11,50/50,A45,2.92,
2012,185,7/3/2012,11,50/50,B16,2.849,
2012,185,7/3/2012,11,50/50,B24,3.978,
2012,185,7/3/2012,12,40/40,A13,2.648,2.835
2012,185,7/3/2012,12,40/40,A21,2.833,
2012,185,7/3/2012,12,40/40,B36,3.103,
2012,185,7/3/2012,12,40/40,B43,2.757,
2012,207,7/25/2012,1,100/100,A33,4.311,4.344
2012,207,7/25/2012,1,100/100,A42,4.176,
2012,207,7/25/2012,1,100/100,B11,4.051,
2012,207,7/25/2012,1,100/100,B23,4.835,
2012,207,7/25/2012,2,100/50,A15,5.191,4.773
2012,207,7/25/2012,2,100/50,A22,4.557,
2012,207,7/25/2012,2,100/50,B32,4.79,
2012,207,7/25/2012,2,100/50,B46,4.552,
2012,207,7/25/2012,3,80/80,A14,4.182,4.515
2012,207,7/25/2012,3,80/80,A24,4.598,
2012,207,7/25/2012,3,80/80,B31,4.254,
2012,207,7/25/2012,3,80/80,B45,5.024,
2012,207,7/25/2012,4,80/65,A31,4.204,4.5
2012,207,7/25/2012,4,80/65,A46,4.867,
2012,207,7/25/2012,4,80/65,B15,4.546,
2012,207,7/25/2012,4,80/65,B22,4.384,
2012,207,7/25/2012,5,80/50,A34,4.534,4.239
2012,207,7/25/2012,5,80/50,A44,4.182,
2012,207,7/25/2012,5,80/50,B14,3.938,
2012,207,7/25/2012,5,80/50,B25,4.301,
2012,207,7/25/2012,6,80/40,A16,5.115,5.002
2012,207,7/25/2012,6,80/40,A26,5.149,
2012,207,7/25/2012,6,80/40,B34,4.898,
2012,207,7/25/2012,6,80/40,B41,4.847,
2012,207,7/25/2012,7,65/80,A11,4.276,4.481
2012,207,7/25/2012,7,65/80,A25,4.625,
2012,207,7/25/2012,7,65/80,B33,4.593,
2012,207,7/25/2012,7,65/80,B44,4.431,
2012,207,7/25/2012,8,65/65,A32,4.037,4.314
2012,207,7/25/2012,8,65/65,A41,4.479,
2012,207,7/25/2012,8,65/65,B12,4.223,
2012,207,7/25/2012,8,65/65,B26,4.518,
2012,207,7/25/2012,9,65/50,A35,4.553,4.483
